type,description
Colorless,"['Colorless'],See Beyond,'Choose a card from your hand and put it as a Prize card face up. Then, choose 1 of your face-down Prize cards without looking and put it into your hand. This attack does nothing if all of your Prize cards are face up.',"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Extrasensory,'If you have the same number of cards in your hand as your opponent, this attack does 30 damage plus 50 more damage.',30+"
Grass,"['Grass', 'Grass', 'Colorless'],Dazzling Pollen,'Flip a coin. If heads, this attack does 50 damage plus 20 more damage. If tails, the Defending Pok\u00e9mon is now Confused.',50+"
Fire,"['Fire', 'Colorless'],Fire Fang,'The Defending Pok\u00e9mon is now Burned.',30"
Fire,"['Fire', 'Fire', 'Colorless'],Grand Flame,'Attach a Fire Energy card from your discard pile to 1 of your Benched Pok\u00e9mon.',90"
Water,"['Water', 'Colorless'],Send Back,'Your opponent switches the Defending Pok\u00e9mon with 1 of his or her Benched Pok\u00e9mon.',40"
Lightning,"['Colorless'],Minor Errand-Running,'Search your deck for a basic Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.',"
Lightning,"['Lightning'],Thunder Jolt,'Flip a coin. If tails, Pachirisu does 10 damage to itself.',20"
Psychic,"['Darkness', 'Colorless'],Feint Attack,'Choose 1 of your opponent's Pok\u00e9mon. This attack does 30 damage to that Pok\u00e9mon. This attack's damage isn't affected by Weakness, Resistance, Pok\u00e9-Powers, Pok\u00e9-Bodies, or any other effects on that Pok\u00e9mon.',"
Psychic,"['Psychic'],Paralyze Poison,'The Defending Pok\u00e9mon is now Poisoned. Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed and Poisoned.',20"
Psychic,"['Psychic', 'Colorless', 'Colorless'],Slash,'',60"
Psychic,"['Psychic'],Hidden Power,'Each player discards the top card of his or her deck. This attack does 20 damage plus 20 more damage for each Unown discarded in this way.',20+"
Psychic,"['Darkness', 'Colorless'],Psychic Pulse,'Does 10 damage to each of your opponent's Benched Pok\u00e9mon that has any damage counters on it. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',30"
Colorless,"['Free'],Lively,'Remove 2 damage counters from 1 of your Pok\u00e9mon.',"
Fighting,"['Fighting'],Quick Attack,'Flip a coin. If heads, this attack does 10 damage plus 10 more damage.',10+"
Fighting,"['Metal', 'Metal', 'Colorless'],Scanblast,'Does 70 damage to each of your opponent's Benched Pok\u00e9mon that has the same name as the Defending Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',70"
Colorless,"['Colorless', 'Colorless'],Mega Ascension,'Search your deck for M Rayquaza-EX, reveal it, and put it into your hand. Shuffle your deck afterward.',"
Colorless,"['Colorless', 'Colorless', 'Colorless', 'Colorless'],Aeroscream,'Flip a coin. If tails, discard 2 Energy attached to this Pok\u00e9mon.',130"
Fighting,"['Metal'],Scrap Attack,'Flip a coin. If heads, search your discard pile for a Metal Energy card and attach it to Lairon.',20"
Fighting,"['Metal', 'Metal', 'Colorless'],Tackle,'',60"
Water,"['Colorless'],Corkscrew Punch,'',10"
Water,"['Colorless', 'Colorless', 'Colorless'],Guillotine,'',30"
Psychic,"['Darkness'],Skill Hack,'Look at your opponent's hand and choose a Basic Pok\u00e9mon or Evolution card you find there. Choose 1 of that Pok\u00e9mon's attacks. Skill Hack copies that attack except for its Energy cost. (You must still do anything else required for that attack.) (No matter what type that Pok\u00e9mon is, Shiftry ex's type is still Darkness.) Shiftry ex performs that attack.',"
Psychic,"['Darkness', 'Colorless', 'Colorless'],Dirge,'Does 60 damage to each of your opponent's Benched Pok\u00e9mon that has the same name as the Defending Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',60"
Lightning,"['Lightning'],Recharge,'Search your deck for a Lightning Energy card and attach it to Electrike. Shuffle your deck afterward.',"
Lightning,"['Colorless', 'Colorless'],Quick Attack,'Flip a coin. If heads, this attack does 10 damage plus 20 more damage.',10+"
Water,"['Colorless'],Supersonic,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused.',"
Water,"['Water'],Waterfall,'',10"
Grass,"['Colorless'],Super Hypno Wave,'The Defending Pok\u00e9mon is now Asleep.',10"
Grass,"['Grass'],Leaf Honey,'Discard a Grass Energy attached to Vespiquen and remove all damage counters from 1 of your Benched Grass Pok\u00e9mon.',"
Grass,"['Grass', 'Colorless', 'Colorless'],Attack Order,'Does 10 damage times the number of Grass Pok\u00e9mon in play (both yours and your opponent's).',10\u00d7"
Fighting,"['Colorless'],Detect,'Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pok\u00e9mon during your opponent's next turn.',"
Fighting,"['Fighting'],Jab,'',10"
Colorless,"['Colorless'],Tail Slap,'Flip 2 coins. This attack does 10 damage times the number of heads.',10\u00d7"
Grass,"['Colorless'],Collect,'Draw a card.',"
Grass,"['Grass'],Quick Attack,'Flip a coin. If heads, this attack does 10 damage plus 10 more damage.',10+"
Fire,"['Colorless'],Collect,'Draw a card.',"
Fire,"['Fire'],Combustion,'',10"
Water,"['Water', 'Water', 'Colorless', 'Colorless'],Strongarm Impact,'You may do 30 more damage. If you do, discard the top 3 cards of each player's deck.',130+"
Grass,"['Grass', 'Metal', 'Colorless'],Super Slash,'If the Defending Pok\u00e9mon is an Evolved Pok\u00e9mon, this attack does 50 damage plus 30 more damage.',50+"
Fighting,"['Colorless', 'Colorless'],Whirlwind,'Your opponent switches the Defending Pok\u00e9mon with 1 of his or her Benched Pok\u00e9mon.',30"
Fighting,"['Metal', 'Metal', 'Colorless'],Razor Wing,'',60"
Fire,"['Colorless'],Magma Ring,'The Defending Pok\u00e9mon can't retreat during your opponent's next turn.',10"
Fire,"['Fire', 'Colorless'],Flare,'',20"
Fighting,"['Colorless'],Flail,'Does 10 damage times the number of damage counters on Sudowoodo.',10\u00d7"
Fighting,"['Fighting', 'Fighting'],Wood Hammer,'Sudowoodo does 30 damage to itself.',50"
Psychic,"['Darkness'],Nasty Plot,'Search your deck for any 1 card and put it into your hand. Shuffle your deck afterward.',"
Psychic,"['Darkness', 'Darkness', 'Darkness'],Dark Pulse,'Does 10 damage times the total amount of Darkness Energy attached to all of your Pok\u00e9mon.',10\u00d7"
Psychic,"['Colorless', 'Colorless'],Drag Off,'Switch 1 of your opponent's Benched Pok\u00e9mon with their Active Pok\u00e9mon. This attack does 50 damage to the new Active Pok\u00e9mon.',"
Psychic,"['Psychic', 'Colorless', 'Colorless'],King's Drum,'If Nidoqueen is on your Bench, this attack does 100 more damage.',100+"
Lightning,"['Lightning'],Shock Generator,'Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed.',"
Lightning,"['Colorless', 'Colorless'],Lightning Ball,'',20"
Grass,"['Colorless'],Ascension,'Search your deck for a card that evolves from Wurmple and put it on Wurmple. (This counts as evolving Wurmple.) Shuffle your deck afterward.',"
Grass,"['Grass'],Miracle Essence,'Flip a coin. If heads, choose 1 Special Condition. Each Defending Pok\u00e9mon is now affected by that Special Condition.',"
Psychic,"['Free'],Astonish,'Choose 1 card from your opponent's hand without looking. Look at the card you chose, then have your opponent shuffle that card into his or her deck.',"
Fighting,"['Metal'],Disorderly Flip,'Flip 4 coins. This attack does 10 damage times the number of heads.',10\u00d7"
Psychic,"['Colorless'],Wrap,'Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed.',10"
Water,"['Water', 'Water', 'Colorless'],Wreck,'If there is any Stadium card in play, this attack does 70 damage plus 20 more damage. Discard that Stadium card.',70+"
Fighting,"['Colorless'],Yawn,'The Defending Pok\u00e9mon is now Asleep.',"
Fighting,"['Fighting'],Sand Attack,'If the Defending Pok\u00e9mon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.',10"
Colorless,"['Colorless'],Call for Family,'Search your deck for as many Eevee as you like and put them onto your Bench. Shuffle your deck afterward.',"
Colorless,"['Colorless'],Lunge,'Flip a coin. If tails, this attack does nothing.',20"
Fighting,"['Fighting', 'Colorless'],Karate Chop,'Does 40 damage minus 10 damage for each damage counter on Machoke.',40-"
Fighting,"['Fighting', 'Fighting', 'Colorless'],Seismic Toss,'',60"
Fighting,"['Metal', 'Colorless'],Hammer In,'',30"
Fighting,"['Metal', 'Colorless', 'Colorless'],Double Smash,'Flip 2 coins. This attack does 50 damage times the number of heads.',50\u00d7"
Water,"['Water'],Tail Snap,'',20"
Water,"['Water', 'Water', 'Water'],Knockout Needle,'Flip 2 coins. If both of them are heads, this attack does 30 damage plus 60 more damage. If 1 or both of them are tails, this attack does 30 damage.',30+"
Colorless,"['Colorless'],Push Down,'Your opponent switches the Defending Pok\u00e9mon with 1 of his or her Benched Pok\u00e9mon.',10"
Colorless,"['Colorless', 'Colorless'],Lick,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',20"
Psychic,"['Colorless'],Void Tentacles,'Your opponent's Active Pok\u00e9mon is now Confused and Poisoned.',"
Psychic,"['Psychic', 'Colorless', 'Colorless'],Paranormal,'During your opponent's next turn, prevent all damage done to this Pok\u00e9mon by attacks from Ultra Beasts.',70"
Fighting,"['Colorless', 'Colorless'],Tri Attack,'Flip 3 coins. This attack does 20 damage times the number of heads.',20\u00d7"
Fighting,"['Metal', 'Colorless', 'Colorless'],Magnetic Ray,'Before doing damage, you may choose 1 of your opponent's Benched Pok\u00e9mon that has any Energy attached to it and switch that Pok\u00e9mon with 1 of the Defending Pok\u00e9mon.',40"
Water,"['Water'],Collect,'Draw 3 cards.',"
Water,"['Metal'],Energy Loop,'Return an Energy card attached to Starmie to your hand.',30"
Psychic,"['Colorless'],Pound,'',10"
Water,"['Colorless', 'Colorless'],Rapid Spin,'Switch this Pok\u00e9mon with 1 of your Benched Pok\u00e9mon. Then, your opponent switches his or her Active Pok\u00e9mon with 1 of his or her Benched Pok\u00e9mon.',30"
Water,"['Water', 'Water', 'Water'],Splash Bomb,'Flip a coin. If tails, this Pok\u00e9mon does 30 damage to itself.',120"
Fire,"['Fire'],Flame Dance,'Search your discard pile for a Fire Energy card and attach it to Monferno.',30"
Fire,"['Colorless', 'Colorless'],Fury Swipes,'Flip 3 coins. This attack does 20 damage times the number of heads.',20\u00d7"
Psychic,"['Darkness', 'Colorless'],Delta Fang,'If the Defending Pok\u00e9mon is Pok\u00e9mon-ex, that Pok\u00e9mon can't attack during your opponent's next turn.',20"
Psychic,"['Metal', 'Colorless'],Gang Up,'Does 10 damage times the number of Darkness Pok\u00e9mon and Metal Pok\u00e9mon you have in play.',10\u00d7"
Psychic,"['Psychic'],Toxic Secretion,'Your opponent's Active Pok\u00e9mon is now Poisoned. Put 2 damage counters instead of 1 on that Pok\u00e9mon between turns.',40"
Water,"['Water', 'Colorless'],Wash Over,'Does 10 damage to 2 of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',20"
Grass,"['Grass', 'Colorless'],Absorb,'Heal 20 damage from this Pok\u00e9mon.',20"
Grass,"['Grass', 'Grass', 'Colorless'],Vine Whip,'',30"
Grass,"['Grass', 'Colorless', 'Colorless'],Poison Powder,'Your opponent's Active Pok\u00e9mon is now Poisoned.',60"
Grass,"['Grass', 'Grass', 'Colorless', 'Colorless'],Jungle Hammer,'Heal 30 damage from this Pok\u00e9mon.',90"
Water,"['Water'],Aqua Shower,'Does 10 damage to each of your opponent's Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Water,"['Water', 'Water'],Brine,'Choose 1 of your opponent's Pok\u00e9mon that has any damage counters on it. This attack does 40 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Psychic,"['Psychic'],Sludge Drag,'Switch the Defending Pok\u00e9mon with 1 of your opponent's Benched Pok\u00e9mon. The new Defending Pok\u00e9mon is now Confused and Poisoned.',"
Psychic,"['Psychic', 'Colorless', 'Colorless'],Pester,'If the Defending Pok\u00e9mon is affected by a Special Condition, this attack does 50 damage plus 30 more damage.',50+"
Psychic,"['Colorless', 'Colorless'],Brilliant Voice,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Asleep. If tails, the Defending Pok\u00e9mon is now Confused.',20"
Psychic,"['Psychic', 'Psychic', 'Psychic'],Round,'Does 30 damage times the number of your Pok\u00e9mon that have the Round attack.',30\u00d7"
Grass,"['Grass'],Mist Attack,'Does 10 damage to each of your opponent's Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Grass,"['Grass', 'Colorless', 'Colorless'],Sludge Whirlpool,'',50"
Grass,"['Grass', 'Colorless', 'Colorless'],Hefty Whip,'If this Pok\u00e9mon was healed during this turn, this attack does 130 more damage.',30+"
Grass,"['Grass', 'Grass', 'Colorless', 'Colorless'],Whip Smash,'',110"
Water,"['Water'],Bubble,'Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed.',"
Water,"['Colorless', 'Colorless'],Flail,'Does 10 damage times the number of damage counters on Seaking.',10\u00d7"
Water,"['Water', 'Water'],Horn Drill,'',50"
Psychic,"['Psychic', 'Colorless', 'Colorless'],Psychic Burst,'You may discard 2 Energy attached to Deoxys ex. If you do, this attack does 50 damage plus 20 more damage for each Energy attached to the Defending Pok\u00e9mon.',50+"
Lightning,"['Colorless', 'Colorless'],Slam,'Flip 2 coins. This attack does 20 damage times the number of heads.',20\u00d7"
Lightning,"['Lightning', 'Colorless', 'Colorless'],Dragon Rage,'',40"
Colorless,"['Colorless'],Razor-Sharp Incisors,'Does 10 damage times the number of damage counters on the Defending Pok\u00e9mon.',10\u00d7"
Colorless,"['Colorless'],Gnaw Up,'Discard a Special Energy card attached to the Defending Pok\u00e9mon.',30"
Grass,"['Grass'],Harden,'During your opponent's next turn, if Silcoon would be damaged by an attack, prevent that attack's damage done to Silcoon if that damage is 30 or less.',"
Grass,"['Grass', 'Colorless'],Entangling String,'Flip a coin. If heads, the Defending Pok\u00e9mon can't attack during your opponent's next turn.',20"
Water,"['Water', 'Colorless'],Swift,'This attack's damage isn't affected by Weakness, Resistance, Pok\u00e9mon Powers, or any other effects on the Defending Pok\u00e9mon.',20"
Water,"['Water', 'Colorless'],Wave Splash,'',30"
Water,"['Water', 'Colorless', 'Colorless'],Big Bite,'The Defending Pok\u00e9mon can't retreat during your opponent's next turn.',50"
Fire,"['Fire'],Super Singe,'The Defending Pok\u00e9mon is now Burned.',"
Fire,"['Fire', 'Colorless'],Stomp,'Flip a coin. If heads, this attack does 30 damage plus 10 more damage.',30+"
Grass,"['Colorless', 'Colorless'],Afterimage Strike,'During your opponent's next turn, if Scyther would be damaged by an attack, flip a coin. If heads, prevent that attack's damage done to Scyther.',20"
Psychic,"['Colorless'],Hidden Power,'',10"
Water,"['Colorless'],Full-Belly Refresh,'Remove all Special Conditions and 3 damage counters from Slowbro.',"
Water,"['Psychic', 'Colorless', 'Colorless'],Startling Trip,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused. If tails, Slowbro is now Confused.',50"
Fire,"['Fire', 'Colorless'],Ember,'Discard a Fire Energy card attached to Bagon.',30"
Fighting,"['Fighting', 'Colorless'],Linear Attack,'Choose 1 of your opponent's Pok\u00e9mon. This attack does 20 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Colorless,"['Colorless'],Amnesia,'Choose 1 of the Defending Pok\u00e9mon's attacks. That Pok\u00e9mon can't use that attack during your opponent's next turn.',"
Colorless,"['Colorless'],Scavenge,'Search your discard pile for a Trainer card, show it to your opponent, and put it into your hand.',"
Lightning,"['Lightning'],Thunder Spear,'Choose 1 of your opponent's Pok\u00e9mon. This attack does 20 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Lightning,"['Lightning', 'Colorless', 'Colorless'],Thundershock,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',40"
Fire,"['Colorless'],Flame Tail,'',30"
Fire,"['Fire', 'Fire', 'Colorless'],Flamethrower,'Discard an Energy attached to Flareon.',90"
